trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
458,False,"{'a': 0.6, 'e': 0.01002118606165716}",20,6,25.243722790291454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.6, 'e': 0.009920974201040588}",20,0,31.612188660978966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.6, 'e': 0.009821764459030182}",20,9,20.658908328496803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.6, 'e': 0.00972354681443988}",25,8,29.97489030691727,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.6, 'e': 0.00962631134629548}",20,3,29.673829999413186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.6, 'e': 0.009530048232832525}",20,16,7.012823745979772,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.6, 'e': 0.009434747750504199}",30,8,36.670700785879575,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.6, 'e': 0.009340400272999157}",20,14,10.840801891811648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.6, 'e': 0.009246996270269165}",20,13,14.749473712515762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.6, 'e': 0.009154526307566474}",20,3,27.97369945523285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.6, 'e': 0.009062981044490808}",25,15,17.259563844215013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.6, 'e': 0.0089723512340459}",25,17,16.330823331137733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.6, 'e': 0.00888262772170544}",30,17,22.493951571898513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.6, 'e': 0.008793801444488386}",25,16,15.180537114172761,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.6, 'e': 0.008705863430043502}",20,13,4.5191398552784925,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
473,False,"{'a': 0.6, 'e': 0.008618804795743068}",20,3,18.91623679649547,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
474,False,"{'a': 0.6, 'e': 0.008532616747785637}",25,0,35.27313804842848,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.6, 'e': 0.00844729058030778}",20,7,23.650357630582725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.6, 'e': 0.008362817674504702}",25,13,25.45026459968504,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.6, 'e': 0.008279189497759654}",20,8,21.95189335846909,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.6, 'e': 0.008196397602782058}",20,8,20.782658781486653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.6, 'e': 0.008114433626754238}",20,9,21.30770149683956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.6, 'e': 0.008033289290486696}",25,14,23.56874400715177,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.6, 'e': 0.00795295639758183}",20,8,18.59575084438025,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.6, 'e': 0.00787342683360601}",25,15,20.48703433970602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.6, 'e': 0.0077946925652699495}",35,19,19.844493124320095,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
484,False,"{'a': 0.6, 'e': 0.00771674563961725}",25,0,36.644173330267925,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
485,False,"{'a': 0.6, 'e': 0.007639578183221077}",20,0,34.29750304825421,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
486,False,"{'a': 0.6, 'e': 0.0075631824013888665}",20,0,32.512671976036685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.6, 'e': 0.007487550577374978}",20,8,22.50383845037057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.6, 'e': 0.007412675071601228}",30,12,25.101919818255787,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
489,False,"{'a': 0.6, 'e': 0.007338548320885215}",20,6,14.139404117490308,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
490,False,"{'a': 0.6, 'e': 0.0072651628376763635}",20,11,-4.444835386918367,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
491,False,"{'a': 0.6, 'e': 0.0071925112092996}",20,11,17.94969165340945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.6, 'e': 0.007120586097206604}",35,8,23.528628216650453,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
493,False,"{'a': 0.6, 'e': 0.007049380236234538}",30,2,37.38450059062485,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.6, 'e': 0.006978886433872193}",30,18,22.599883903557895,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.6, 'e': 0.006909097569533471}",20,11,19.153956719586677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.6, 'e': 0.006840006593838137}",25,7,32.9359135496616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.6, 'e': 0.0067716065278997555}",25,0,40.04521033132231,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
498,False,"{'a': 0.6, 'e': 0.006703890462620758}",20,13,9.722585752840898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
